2018-02-26T16:13:21.596714,0,9,0,36,76.1,70.8,63.2,68.3,82.5,73.1,61.7,78.8,78.2
2018-02-26T16:13:33.929060,0,9,0,33,72.0,73.3,59.7,73.5,75.1,68.9,74.2,72.6,68.1
2018-02-26T16:13:40.073360,0,9,0,34,75.5,66.5,60.2,74.7,77.8,70.6,76.0,71.3,77.4
2018-02-26T16:13:51.527291,0,9,0,32,73.0,72.1,62.0,72.2,79.8,72.8,73.8,73.2,74.0
2018-02-26T16:13:55.901806,0,9,0,30,74.0,73.9,63.0,73.0,79.1,62.9,74.4,63.9,75.1
2018-02-26T16:13:58.243090,0,9,0,29,75.3,73.7,62.1,72.9,61.3,70.7,74.3,59.5,75.1
2018-02-26T16:14:09.621424,0,9,0,31,74.8,68.8,58.6,74.1,76.7,71.2,75.8,59.5,76.5
2018-02-26T16:14:12.005980,0,9,0,34,76.6,72.2,61.1,75.2,77.3,73.3,77.2,58.7,76.5
2018-02-26T16:14:28.101162,0,8,0,30,70.0,69.2,69.1,75.8,60.9,72.0,72.7,71.9
2018-02-26T16:14:35.721297,0,8,0,31,57.8,63.0,72.2,78.7,75.8,76.8,74.9,78.2
2018-02-26T16:14:37.997760,0,8,0,31,58.3,61.2,76.3,77.9,58.9,79.3,75.4,79.6
2018-02-26T16:14:45.185200,0,8,0,31,58.0,60.9,69.6,80.2,57.8,78.2,75.8,74.6
2018-02-26T16:15:02.653664,0,8,0,28,56.7,61.7,73.1,77.2,63.2,74.0,72.8,75.2
2018-02-26T16:15:16.698619,0,8,0,27,57.4,59.9,70.7,78.5,73.1,73.7,75.1,74.1
2018-02-26T16:15:23.313347,0,8,0,28,58.4,69.9,73.6,72.1,66.7,76.1,75.2,75.7
2018-02-26T16:15:41.084662,0,7,0,30,70.4,73.1,78.5,72.8,62.1,75.9,74.4
2018-02-26T16:15:51.913668,0,7,0,28,70.6,69.2,73.8,75.4,65.7,69.5,75.0
2018-02-26T16:15:57.767217,0,7,0,29,73.0,72.9,77.3,78.8,76.5,76.2,77.6
2018-02-26T16:16:06.947289,0,7,0,29,68.1,74.9,79.5,80.4,77.6,78.5,78.1
2018-02-26T16:16:13.027374,0,7,0,26,71.0,67.0,70.6,78.2,74.1,69.1,68.8
2018-02-26T16:16:22.789395,0,7,0,26,71.8,72.5,76.5,68.1,72.0,75.7,75.1
2018-02-26T16:16:38.083176,0,7,0,28,62.9,74.1,79.7,73.4,76.3,75.2,73.8
2018-02-26T16:16:44.345598,0,7,0,26,61.1,65.9,68.6,67.7,69.3,75.4,75.9
2018-02-26T16:17:02.617496,0,6,0,31,72.3,77.7,72.0,75.5,74.9,76.2
2018-02-26T16:17:10.599515,0,6,0,27,69.3,71.5,66.6,71.3,71.5,72.1
2018-02-26T16:17:17.173119,0,6,0,29,73.3,77.6,72.0,74.9,75.0,76.2
2018-02-26T16:17:19.304150,0,6,0,29,72.3,77.5,74.0,76.1,75.3,79.7
2018-02-26T16:17:26.515296,0,6,0,28,74.5,78.4,73.1,76.9,69.1,79.1
2018-02-26T16:17:31.765466,0,6,0,30,76.4,82.1,73.6,78.3,72.2,69.5
2018-02-26T16:17:38.877649,0,6,0,29,70.7,72.2,64.3,71.2,72.7,74.4
2018-02-26T16:17:41.129727,0,6,0,29,74.7,75.6,70.5,74.0,72.9,76.7
2018-02-26T16:17:44.613733,0,6,0,30,73.4,78.3,70.2,74.9,73.0,75.7
2018-02-26T16:17:55.417701,0,6,0,32,73.1,80.6,75.6,75.2,71.1,78.3
2018-02-26T16:18:33.577262,0,6,0,29,72.7,77.3,69.9,74.7,71.2,74.5
2018-02-26T16:18:42.089043,0,6,0,31,71.8,77.7,70.5,69.6,75.1,76.7
2018-02-26T16:18:49.589451,0,6,1,31,73.7,82.3,72.9,74.8,67.2,76.1
2018-02-26T16:18:57.994857,0,6,1,29,74.9,74.6,68.7,77.0,71.9,70.9
2018-02-26T16:19:07.721160,0,6,1,28,69.4,75.9,71.0,69.8,72.1,77.8
2018-02-26T16:19:09.885126,0,6,1,28,73.5,82.3,70.5,73.4,72.0,79.5
2018-02-26T16:19:20.848991,0,6,1,27,74.4,74.8,72.4,74.2,67.8,73.6
2018-02-26T16:19:29.808777,0,6,1,25,70.5,77.1,67.0,76.1,71.0,75.5
2018-02-26T16:19:49.545419,0,6,0,24,73.8,76.0,72.4,71.3,71.6,74.7
2018-02-26T16:19:58.353154,0,6,0,23,70.0,76.4,67.0,77.6,71.3,75.8
2018-02-26T16:20:06.012842,0,6,0,22,72.4,78.8,70.3,68.6,70.7,77.6
2018-02-26T16:20:14.152964,0,6,0,21,73.4,72.4,71.7,73.1,70.5,71.7
2018-02-26T16:20:20.378390,0,6,0,22,74.8,58.6,72.0,75.6,74.3,76.1
2018-02-26T16:20:30.184742,0,6,0,21,69.1,68.5,67.7,76.7,76.3,65.1
2018-02-26T16:20:38.248666,0,6,0,19,72.5,79.9,71.2,69.8,66.8,59.6
2018-02-26T16:20:42.218454,0,6,0,19,73.4,78.5,73.0,73.3,70.6,58.6
2018-02-26T16:21:01.548429,0,5,1,14,69.2,74.2,74.8,69.7,57.1
2018-02-26T16:21:04.886571,0,5,0,15,71.7,78.7,72.3,70.9,60.6
2018-02-26T16:21:07.750263,0,5,0,15,72.7,78.0,74.4,69.3,78.7
2018-02-26T16:21:18.796527,0,5,0,14,68.6,61.1,74.0,71.5,74.3
2018-02-26T16:21:22.352576,0,5,0,14,71.2,58.8,80.5,72.7,70.2
2018-02-26T16:21:24.571489,0,5,0,15,71.2,59.4,79.9,72.0,76.5
2018-02-26T16:21:32.256504,0,5,0,14,72.1,63.3,69.4,65.8,77.0
2018-02-26T16:21:37.708215,0,5,0,15,73.7,59.8,75.2,70.2,80.0
2018-02-26T16:21:47.100503,0,5,0,13,69.0,59.6,77.2,73.7,73.3
2018-02-26T16:21:55.724768,0,5,0,10,71.8,55.9,75.1,68.1,74.1
2018-02-26T16:22:01.592353,0,4,1,11,58.9,74.8,73.5,75.2
2018-02-26T16:22:07.828466,0,4,0,12,58.5,74.1,74.8,78.2
2018-02-26T16:22:09.932362,0,4,0,12,71.3,73.6,75.7,78.5
2018-02-26T16:22:17.653768,0,4,0,12,79.3,78.7,78.5,72.1
2018-02-26T16:22:22.452362,0,4,0,12,79.9,75.7,66.7,74.7
2018-02-26T16:22:25.313720,0,4,0,10,50.6,63.1,72.5,76.5
2018-02-26T16:22:30.530134,0,4,0,11,58.5,75.6,75.6,78.7
2018-02-26T16:22:32.696258,0,4,0,11,58.5,75.6,75.9,80.6
2018-02-26T16:22:38.207390,0,4,0,12,58.9,75.1,76.6,78.6
2018-02-26T16:22:47.984153,0,4,0,11,58.6,77.2,77.5,70.8
2018-02-26T16:22:50.264320,0,4,0,10,60.3,76.4,56.7,76.8
2018-02-26T16:22:52.276185,0,4,0,9,60.5,55.2,75.2,74.3
2018-02-26T16:22:55.546459,0,4,0,9,59.5,75.2,75.5,76.3
2018-02-26T16:23:00.867835,0,4,0,11,59.0,75.1,74.9,79.5
2018-02-26T16:23:09.416168,0,3,0,10,74.6,76.6,71.1
2018-02-26T16:23:15.950162,0,3,0,10,77.5,73.6,73.7
2018-02-26T16:23:20.288153,0,3,0,10,68.0,75.5,73.6
2018-02-26T16:23:30.676136,0,3,0,11,75.0,71.5,77.4
2018-02-26T16:23:38.417403,0,3,0,10,76.5,73.3,71.9
2018-02-26T16:23:42.908245,0,3,0,10,77.7,65.7,74.8
2018-02-26T16:23:52.908046,0,3,0,10,71.3,72.7,73.1
2018-02-26T16:23:56.154115,0,3,0,11,75.5,72.0,73.7
2018-02-26T16:24:05.841431,0,3,0,10,76.0,73.3,68.8
2018-02-26T16:24:21.384028,0,2,1,11,69.4,72.2
2018-02-26T16:24:25.531375,0,2,0,11,77.3,74.1
2018-02-26T16:24:30.469690,0,2,0,10,73.1,65.8
2018-02-26T16:24:32.739922,0,2,0,10,72.1,71.6
2018-02-26T16:24:35.931893,0,2,0,9,63.4,75.0
2018-02-26T16:24:37.871077,0,2,0,10,71.5,78.1
2018-02-26T16:24:46.927768,0,2,0,14,71.5,77.3
2018-02-26T16:24:48.843613,0,2,0,14,73.2,78.6
2018-02-26T16:25:01.911396,0,2,0,12,71.6,73.9
2018-02-26T16:25:06.465235,0,2,0,13,74.7,76.5
2018-02-26T16:25:09.107448,0,2,0,13,74.7,75.8
2018-02-26T16:25:11.523578,0,2,0,13,75.2,77.2
2018-02-26T16:25:13.579598,0,2,0,13,70.5,78.9
2018-02-26T16:26:13.863539,0,2,0,17,71.0,75.6
2018-02-26T16:26:16.871781,0,2,0,18,74.3,77.3
2018-02-26T16:26:18.839184,0,2,0,17,73.8,54.8
2018-02-26T16:26:28.379636,0,2,0,18,67.4,75.4
2018-02-26T16:26:33.815593,0,2,1,18,71.2,77.7
2018-02-26T16:26:42.379436,0,2,1,18,73.8,79.3
2018-02-26T16:26:51.276089,0,2,1,18,63.6,70.0
2018-02-26T16:27:04.967705,0,2,1,20,74.0,77.9
2018-02-26T16:27:14.088935,0,2,1,19,73.5,73.0
2018-02-26T16:27:26.507348,0,2,1,19,52.7,76.4
2018-02-26T16:27:42.007712,0,2,1,20,27.8,74.6
2018-02-26T16:27:47.049994,0,2,1,21,59.6,74.2
2018-02-26T16:27:58.735468,0,2,2,21,56.8,77.4
2018-02-26T16:28:04.031560,0,2,2,21,57.8,79.4
2018-02-26T16:28:18.135294,0,2,2,21,72.7,73.1
2018-02-26T16:28:24.884855,0,2,2,20,67.1,78.0
2018-02-26T16:28:27.539959,0,2,2,20,71.2,79.1
2018-02-26T16:28:37.743284,0,2,2,23,72.7,70.3
2018-02-26T16:29:04.967304,0,2,2,23,71.8,76.0
2018-02-26T16:29:16.448880,0,2,3,22,69.8,76.6
2018-02-26T16:29:25.731148,0,2,3,23,72.0,77.7
2018-02-26T16:29:39.690407,0,2,3,23,72.5,72.5
2018-02-26T16:29:43.262946,0,2,3,22,61.1,76.9
2018-02-26T16:29:48.401166,0,2,3,25,71.5,77.0
2018-02-26T16:29:51.146957,0,2,3,25,75.3,76.9
2018-02-26T16:30:02.319244,0,2,3,24,76.0,71.2
2018-02-26T16:30:12.808439,0,2,3,23,71.9,76.9
2018-02-26T16:30:21.678597,0,2,3,23,74.7,74.8
2018-02-26T16:30:31.051313,0,2,3,25,77.7,75.2
2018-02-26T16:30:39.179163,0,2,3,26,67.8,77.2
2018-02-26T16:31:03.519208,0,4,1,23,71.0,58.1,72.8,74.1
2018-02-26T16:31:13.155327,0,4,1,23,76.1,58.5,72.2,77.9
2018-02-26T16:31:28.808692,0,4,2,23,60.3,55.7,73.4,72.0
2018-02-26T16:31:31.559435,0,4,2,23,60.2,58.1,73.2,79.2
2018-02-26T16:31:36.695722,0,4,2,24,61.4,57.8,74.0,80.6
2018-02-26T16:31:42.763583,0,4,2,23,62.5,58.7,73.8,72.2
2018-02-26T16:31:44.964710,0,4,2,23,62.2,57.0,77.2,74.5
2018-02-26T16:31:55.050888,0,4,2,22,62.1,59.6,74.9,75.6
2018-02-26T16:32:46.508880,0,4,1,19,72.0,72.7,70.5,75.4
2018-02-26T16:32:56.503468,0,4,1,20,71.9,74.3,68.0,76.1
2018-02-26T16:33:04.579296,0,4,1,20,75.7,74.1,70.9,57.1
2018-02-26T16:33:15.723545,0,4,1,17,70.2,56.5,73.4,71.0
2018-02-26T16:34:06.396490,0,4,0,14,70.3,61.5,71.2,75.1
2018-02-26T16:34:08.416460,0,4,0,13,70.5,73.5,61.6,77.7
2018-02-26T16:34:19.767377,0,4,0,12,74.3,73.3,70.5,77.4
2018-02-26T16:34:27.787133,0,4,0,11,74.7,77.5,72.3,71.9
2018-02-26T16:34:49.174920,0,3,0,8,74.4,70.4,75.3
2018-02-26T16:34:59.891046,0,3,0,7,79.0,71.6,59.7
2018-02-26T16:35:08.308802,0,3,0,5,70.3,68.8,76.3
2018-02-26T16:35:19.311261,0,3,0,5,75.5,73.1,77.8
2018-02-26T16:35:22.679460,0,3,0,5,78.9,73.4,77.3
2018-02-26T16:35:31.755194,0,3,0,2,71.8,67.4,69.8
2018-02-26T16:35:39.789597,0,3,0,2,74.4,71.2,75.3
2018-02-26T16:36:00.695489,0,2,0,0,70.8,73.7
2018-02-26T16:36:06.489494,0,2,0,0,71.1,72.5
2018-02-26T16:36:08.973527,0,2,0,0,73.3,74.9
2018-02-26T16:36:13.890554,0,2,0,0,74.0,80.0
2018-02-26T16:36:22.451332,2,0,0,0,29.3,57.6
2018-02-26T16:36:30.271650,2,0,0,0,0.1,0.2
2018-02-26T16:36:38.359096,2,0,0,0,0.1,0.1
2018-02-26T16:36:45.810835,2,0,0,0,0.1,0.1
2018-02-26T16:36:47.706833,2,0,0,0,0.5,0.5
2018-02-26T16:36:49.610712,2,0,0,0,0.0,0.3
2018-02-26T16:36:54.902834,1,1,0,0,0.0,39.4
2018-02-26T16:37:03.879372,0,1,0,0,73.7
2018-02-26T16:37:08.715281,0,1,0,0,75.2
2018-02-26T16:37:14.771285,0,1,0,0,78.7
2018-02-26T16:37:19.003412,0,1,0,0,76.0
2018-02-26T16:37:25.135090,1,0,0,0,3.7
2018-02-26T16:37:27.099122,1,0,0,0,0.3
2018-02-26T16:37:34.894867,1,0,0,0,0.1
2018-02-26T16:37:36.967396,1,0,0,0,0.2
2018-02-26T16:37:38.838928,1,0,0,0,0.3
2018-02-26T16:37:47.162882,1,0,0,0,0.1
2018-02-26T16:37:50.571801,1,0,0,0,0.0
2018-02-26T16:38:01.318411,1,0,0,0,0.1
2018-02-26T16:38:04.995208,1,0,0,0,0.4
2018-02-26T16:38:11.863061,1,0,0,0,0.1
2018-02-26T16:38:16.962994,1,0,0,0,0.2
2018-02-26T16:38:23.316733,1,0,0,0,0.1
2018-02-26T16:38:31.171593,1,0,0,0,0.1
2018-02-26T16:38:33.008548,1,0,0,0,0.3
2018-02-26T16:38:35.187555,1,0,0,0,0.2
2018-02-26T16:38:43.991366,1,0,0,0,0.1
2018-02-26T16:38:46.003201,1,0,0,0,0.2
2018-02-26T16:38:47.843345,1,0,0,0,0.5
